url_doi	title	year	article_type	train
https://dx.doi.org/10.1080/0005772X.2002.11099555	Blue orchard bee nest box	2002	popular	1
https://dx.doi.org/10.1080/00063657009476268	Some Aspects of the Control of Birds	1970	review	1
https://dx.doi.org/10.1080/00103624.2015.1059847	Management of Nitrogen-Rich Legume Cover Crops as Mulch in Traditional Olive Orchards	2015	study	1
https://dx.doi.org/10.1080/00379271.2015.1114425	Impact of winter pruning of pomegranate trees on Aphis punicae (Hemiptera, Aphididae) and its natural enemies in Tunisia	2015	study	1
https://dx.doi.org/10.1080/01448765.1997.9755198	Floral and Faunal Species Diversity and Abundance of Aphid Predators in Ecological Apple Orchards	1997	study	1
https://dx.doi.org/10.1080/03014223.1980.10423782	Diets of adult and nestling starlings (Sturnus vulgaris) in Hawke's Bay, New Zealand	1980	study	1
https://doi.org/10.1080/03015521.1984.10427785	Kiwifruit pollination by honey bees 1. Tauranga observations, 1978-81	1984	study	1
https://dx.doi.org/10.1080/03078698.1995.9674091	Flock composition and biometrics of fieldfares Turdus pilaris wintering in a Cheshire orchard	1995	study	1
https://dx.doi.org/10.1080/03949370.2015.1048829	Comparing the summer diet of stone martens (Martes foina) in urban and natural habitats in Central Bulgaria	2015	study	1
https://dx.doi.org/10.1080/07352681003617483	Plant Volatiles-based Insect Pest Management in Organic Farming	2010	review	1
https://dx.doi.org/10.1080/07352689991309450	Allelopathy as a Tool in the Management of Biotic Resources in Agroecosystems	1999	review	1
https://dx.doi.org/10.1080/09064711003720261	Does mulching influence potential predators of raspberry beetle?	2011	study	1
https://dx.doi.org/10.1080/09583157.2011.642337	Flowers for better pest control? Effects of apple orchard groundcover management on mites (Acari), leafminers (Lepidoptera, Scitellidae), and fruit pests	2011	study	1
https://dx.doi.org/10.1080/09583157.2013.763904	Intercropping with aromatic plants hindered the occurrence of Aphis citricola in an apple orchard system by shifting predator-prey abundances	2013	study	1
https://dx.doi.org/10.1080/09583157.2015.1111298	The feeding behaviour of Rumina decollata (Subulinidae: Gastropoda) raises questions about its efficacy as a biological control agent for Cornu aspersum (Helicidae: Gastropoda)	2016	study	1
https://dx.doi.org/10.1080/09670870903324206	Side effects of kaolin particle films on apple orchard bug, beetle and spider communities	2010	study	1
https://dx.doi.org/10.1080/21683565.2014.967440	Soil Arthropod Diversity in Organic, Integrated, and Conventional Olive Orchards and Different Agroecological Zones in Crete, Greece	2015	study	1
https://dx.doi.org/10.1080/10440046.2010.493363	Key and Secondary Arthropod Pest Population Trends in Apple Cultivated over Four Seasons with No Insecticides and a Legume Cover	2010	study	1
https://dx.doi.org/10.1080/10807039.2013.831263	A Causal Analysis of Observed Declines in Managed Honey Bees (Apis mellifera)	2014	report	1
https://dx.doi.org/10.1080/11250008709355590	Autumn‐winter structure of bird communities in selected habitats of Tuscany (Italy)	1987	study	1
https://dx.doi.org/10.1080/11250008809386631	Bird community structure and dynamics during spring migration in selected habitats of northern Italy	1988	study	1
https://dx.doi.org/10.1080/11250009309355829	The diet of a coastal population of European bee‐eaters (Merops apiaster) compared to prey availability (Tuscany, central Italy)	1993	study	1
https://dx.doi.org/10.1080/11956860.1999.11682539	Diet plasticity in blackcap (Sylvia atricapilla): The ability to overcome nutritional constraints imposed by agricultural intensification	1999	study	1
https://dx.doi.org/10.1080/13102818.2010.10817911	Contribution to the Knowledge of Pedofauna in Šumadija (Central Part of Serbia)	2010	study	1
https://dx.doi.org/10.1080/13921657.1999.10512256	Distribution of the Sibling Vole (Microtus Rossiaemeridionalis Ognev, 1924) (Rodentia, Cricetidae) in Lithuania	1999	study	1
https://dx.doi.org/10.1080/14620316.2006.11512135	Does manipulation of fruit-tree architecture affect the development of pests and pathogens? A case study in an organic apple orchard	2006	study	1
https://dx.doi.org/10.1080/14620316.2012.11512876	Adding bumblebees (Bombus terrestris L., Hymenoptera: Apidae) to pear orchards increases seed number per fruit, fruit set, fruit size and yield	2012	study	1
https://doi.org/10.1080/14735903.2012.700102	The importance of managing the costs and benefits of bird activity for agricultural sustainability	2012	review	1
https://dx.doi.org/10.1080/14888386.2008.9712875	Ecosystems and the value of adjacent protected areas to agriculture	2008	popular	1
https://doi.org/10.1111/epp.12000	Dose expression for plant protection products	2012	report	1
https://dx.doi.org/10.1080/21658005.2015.1090119	Diversity and structure of butterfly populations in agro-ecosystems of Mitidja (Algeria)	2015	study	1
https://dx.doi.org/10.1603/EN13219	Nesting and Pollen Preference of Osmia lignaria lignaria (Hymenoptera: Megachilidae) in Virginia and North Carolina Orchards	2014	study	1
https://doi.org/10.1111/aab.12012	A plant-traits approach to assessing the success of alien weed species in irrigated Mediterranean orchards	2012	study	1
https://doi.org/10.1111/j.1570-7458.2012.01276.x	Does host adaptation of Tetranychus urticae populations in clementine orchards with a Festuca arundinacea cover contribute to a better natural regulation of this pest mite?	2012	study	1
https://doi.org/10.1046/j.1365-2656.1999.00293.x	Habitat selection as a major resource partitioning mechanism between the two sympatric sibling bat species Myotis myotis and Myotis blythii	1999	study	1
https://doi.org/10.1111/jph.12082	Evaluation of the Use of Ammonium Bicarbonate and Oregano (Origanum vulgare ssp. hirtum) Extract on the Control of Apple Scab	2013	study	1
https://doi.org/10.1007/BF01651738	Vergleich der Schadstoffbelastung in Eiern des Sperbers (Accipiter nisus) aus Brandenburg und Nordrhein-Westfalen, Deutschland	2001	german	1
https://doi.org/10.1007/BF02956443	A Hazard Quotient approach for assessing the risk to non-target arthropods from plant protection products under 91/414/EEC: hazard quotient trigger value proposal and validation	2000	lab_study	1
https://doi.org/10.1007/BF02981797	Pesticide Application and the Environment: The difficulty of making the right decisions	2000	editorial	1
https://doi.org/10.1007/s001289910039	Species- and Age-Related Differences in Susceptibility to Pesticide Exposure for Two Amphibians, Rana pipiens, and Bufo americanus	2000	study	1
https://doi.org/10.1007/s00244-004-3157-3	Relationship Between DDE Concentrations and Laying Sequence in Eggs of Two Passerine Species	2004	study	1
https://doi.org/10.1007/s00244-008-9274-7	Environmental Contaminants in White-Winged Doves (Zenaida asiatica asiatica) from the Lower Rio Grande Valley of Texas, USA	2009	study	1
https://doi.org/10.1007/s00267-001-0056-5	Soil Arthropods (Coleoptera, Isopoda) in Organic and Conventional Agroecosystems	2002	study	1
https://doi.org/10.1007/s00484-013-0643-1	Temperature characteristics of winter roost-sites for birds and mammals: tree cavities and anthropogenic alternatives	2014	study	1
https://doi.org/10.1007/s00606-002-0278-x	Introducing plants for bee-keeping at any cost? - Assessment of Phacelia tanacetifolia as nectar source plant under xeric Mediterranean conditions	2003	study	1
https://doi.org/10.1007/s10336-010-0525-9	Food or nesting place? Identifying factors limiting Wryneck populations	2010	study	1
https://doi.org/10.1007/s10336-015-1229-y	Why birds matter: from economic ornithology to ecosystem services	2015	review	1
https://doi.org/10.1007/s10337-016-3027-y	Case Study: Beehive Devastation by Microencapsulated Parathion‑Methyl	2016	study	1
https://doi.org/10.1007/s10340-008-0234-9	Pest management based on petroleum spray oil in navel orange orchard in Ganzhou, South China	2009	study	1
https://doi.org/10.1007/s10340-015-0659-x	Kaolin and potassium soap with thyme essential oil to control Monosteira unicostata and other phytophagous arthropods of almond trees in organic orchards	2015	study	1
https://doi.org/10.1007/s10340-015-0691-x	Exposure to spinosad affects orb-web spider (Agalenatea redii) survival, web construction and prey capture under laboratory conditions	2016	study	1
https://doi.org/10.1007/s10457-004-0250-6	Integrating natural woodland with pig production in the United Kingdom: an investigation of potential performance and interactions	2005	social_science	1
https://doi.org/10.1007/s10457-008-9168-8	Factors affecting adoption of hedgerows and other biodiversity-enhancing features on farms in California, USA	2009	study	1
https://doi.org/10.1007/s10457-012-9560-2	Agroforestry in Europe: a review of the disappearance of traditional systems and development of modern agroforestry practices, with emphasis on experiences in Germany	2013	review	1
https://doi.org/10.1007/s10493-007-9117-7	Effects of acaricides, pyrethroids and predator distributions on populations of Tetranychus urticae in apple orchards	2007	study	1
https://doi.org/10.1007/s10526-004-0676-9	Ground predator abundance affects prey removal in highbush blueberry (Vaccinium corymbosum) fields and can be altered by aisle ground covers	2005	study	1
https://doi.org/10.1007/s10526-004-5527-1	Colonization of apple orchards by predators of Dysaphis plantaginea: sequential arrival, response to prey abundance and consequences for biological control	2005	study	1
https://doi.org/10.1007/s10526-005-5252-4	Effect of floral and extrafloral resources on predation of Aphis spiraecola by Harmonia axyridis on Apple	2006	study	1
https://doi.org/10.1007/s10526-008-9199-0	Activity-density of Pardosa cribata in Spanish citrus orchards and its predatory capacity on Ceratitis capitata and Myzus persicae	2009	study	1
https://doi.org/10.1007/s10530-009-9659-1	Regional patterns in the invasion success of Cheiracanthium spiders (Miturgidae) in vineyard ecosystems	2010	study	1
https://doi.org/10.1007/s10530-012-0270-5	Pre-adaptive shift of a native predator (Araneae, Zodariidae) to an abundant invasive ant species (Hymenoptera, Formicidae)	2013	study	1
https://doi.org/10.1007/s10531-010-9872-3	Geobotanical survey of wood-pasture habitats in Europe: diversity, threats and conservation	2010	review	1
https://doi.org/10.1007/s10531-014-0802-7	The importance of non-forest landscapes for the conservation of forest bats: lessons from barbastelles (Barbastella barbastellus)	2015	study	1
https://doi.org/10.1007/s10646-004-6372-9	Thyroid Function in Nestling Tree Swallows and Eastern Bluebirds Exposed to Non-Persistent Pesticides and p, p'-DDE in Apple Orchards of Southern Ontario, Canada	2005	study	1
https://doi.org/10.1007/s10646-005-0028-2	A Review and Analysis of Study Endpoints Relevant to the Assessment of 'Long Term' Pesticide Toxicity in Avian and Mammalian Wildlife	2005	review	1
https://doi.org/10.1007/s10646-009-0400-8	Wintering area DDE source to migratory white-faced ibis revealed by satellite telemetry and prey sampling	2010	study	1
https://doi.org/10.1007/s10646-012-0863-x	Neonicotinoids in bees: a review on concentrations, side-effects and risk assessment	2012	review	1
https://doi.org/10.1007/s10658-004-1423-x	Detection of the fire blight biocontrol agent Bacillus subtilis BD170 (Biopro ) in a Swiss apple orchard	2005	study	1
https://doi.org/10.1007/s10661-013-3422-x	Exposure pathways of anticoagulant rodenticides to nontarget wildlife	2014	study	1
https://doi.org/10.1007/s10669-007-9036-5	Spray techniques: how to optimise spray deposition and minimise spray drift	2008	review	1
https://doi.org/10.1007/s10745-006-9030-4	The 'Design' of Mediterranean Landscapes: A Millennial Story of Humans and Ecological Systems during the Historic Period	2006	history	1
https://doi.org/10.1007/s10841-013-9584-6	Almond orchards with living ground cover host more wild insect pollinators	2013	study	1
https://doi.org/10.1007/s10980-015-0332-z	Diverse landscapes have a higher abundance and species richness of spring wild bees by providing complementary floral resources over bees' foraging periods	2016	study	1
https://doi.org/10.1007/s10980-016-0390-x	Local and landscape effects of agricultural intensification on Carabid community structure and weed seed predation in a perennial cropping system	2016	study	1
https://doi.org/10.1007/s10980-016-0416-4	Modeling local spatial patterns of wild bee diversity in Pennsylvania apple orchards	2016	study	1
https://doi.org/10.1007/s11104-004-1012-y	Edge effects on vegetation and soils in a Virginia old-field	2005	study	1
https://doi.org/10.1007/s11274-016-2131-3	The production and uses of Beauveria bassiana as a microbial insecticide	2016	review	1
https://doi.org/10.1007/s13355-012-0153-3	Short-term effects of mowing on insect communities in Japanese peach orchards	2013	study	1
https://doi.org/10.1023/A:1009959009802	Results of the seventh joint pesticide testing programme carried out by the IOBC/WPRS-Working Group 'Pesticides and Beneficial Organisms'	1999	study	1
https://doi.org/10.1023/A:1024496712579	Arthropod reaction to landscape and habitat features in agricultural landscapes	2003	study	1
https://doi.org/10.1023/B:AGFO.0000028990.31801.62	Windbreaks in North American agricultural systems	2004	review	1
https://doi.org/10.1023/B:AGFO.0000028991.86647.35	Organic farming and agroforestry: Alleycropping for mulch production for organic farms of southeastern United States	2004	review	1
https://doi.org/10.1051/apido/2010018	Pesticides and honey bee toxicity - USA*	2010	review	1
https://doi.org/10.1051/apido/2010043	The effects of four crop protection products on the morphology and ultrastructure of the hypopharyngeal gland of the European honeybee, Apis mellifera*	2011	study	1
https://doi.org/10.1051/apido:2007061	Field use of an incubation box for improved emergence timing of Osmia lignaria populations used for orchard pollination	2008	study	1
https://doi.org/10.1002/ps.2054	Harmonic radar: efficacy at detecting and recovering insects on agricultural host plants	2011	study	1
https://doi.org/10.1007/978-3-319-25220-9_6	Bats in the Anthropogenic Matrix: Challenges and Opportunities for the Conservation of Chiroptera and Their Ecosystem Services in Agricultural Landscapes	2016	review	1
https://doi.org/10.1111/1365-2664.12573	Improving spatial arrangement of honeybee colonies to avoid pollination shortfall and depressed fruit set	2016	study	1
https://doi.org/10.3896/IBRA.1.53.1.01	A national survey of managed honey bee 2012–2013 annual colony losses in the USA: results from the Bee Informed Partnership	2014	survey	1
https://doi.org/10.1111/j.1439-0418.1992.tb01094.x	An attempt to pear sucker management in the Netherlands	1992	study	1
https://doi.org/10.1111/j.1439-0418.1994.tb00769.x	Spatial distribution of homopteran pests and beneficial insects in an orchard and its connection with ecological plant protection	1994	study	1
https://doi.org/10.1111/j.1474-919X.1985.tb04838.x	Seed preference and energy intake of Goldfinches Carduelis carduelis in the breeding season	1985	study	1
https://doi.org/10.1111/j.1570-7458.1985.tb03448.x	Influence of aerial dispersal on persistence and spread of pesticide-resistant Metaseiulus occidentalis in California almond orchards	1985	study	1
https://doi.org/10.1111/geoj.12201	Social enterprises with environmental objectives: saving traditional orchards in England and Germany	2016	social_science	1
https://doi.org/10.1111/j.1752-4598.2009.00069.x	Ground beetles (Coleoptera: Carabidae) in the inten- sively cultivated agricultural landscape of Northern China - implications for biodiversity conservation	2010	study	1
https://doi.org/10.1111/1744-7917.12000	Mechanisms for flowering plants to benefit arthropod natural enemies of insect pests: Prospects for enhanced use in agriculture	2014	review	1
https://doi.org/10.1002/ece3.1579	Testing projected wild bee distributions in agricultural habitats: predictive power depends on species traits and habitat type	2015	study	1
https://doi.org/10.1111/1365-2664.12363	Biological control in winter: novel evidence for the importance of generalist predators	2015	study	1
https://doi.org/10.1111/een.12244	Agro-ecosystem services and dis-services in almond orchards are differentially influenced by the surrounding landscape	2015	study	1
https://doi.org/10.1046/j.1523-1739.2003.01575.x	Importance of Habitat Area and Landscape Context for Species Richness of Bees and Wasps in Fragmented Orchard Meadows	2003	study	1
https://doi.org/10.1080/0005772X.1999.11099452	Publishedonline:01Apr2015. Submityourarticletothisjournal Articleviews:19 Viewrelatedarticles Citingarticles:17Viewcitingarticles FullTerms&Conditionsofaccessandusecanbefoundat http://www.tandfonline.com/action/journalInformation?journalCode=tbee20	1999	popular	0
https://doi.org/10.1080/01140671.2014.889721	Phytophagous mites and their predators during the establishment of apple orchards under biological and integrated fruit production in Central Otago, New Zealand	2014	study	0
https://doi.org/10.1080/03014223.1975.9517877	Integrated control of apple pests in New Zealand * 5. Effect of larval density on the cocooning behaviour of fifth-instar codling moth larvae on young trees	1975	study	0
https://doi.org/10.1080/03949370.2011.634439	Do age and type of plantings affect turtle dove Streptopelia turtur nest placement in olive agro- ecosystems?	2012	study	0
https://doi.org/10.1080/09583150600828502	Increasing vineyard floral resources may not enhance localised biological control of the leafroller Epiphyas postvittana (Lepidoptera: Tortricidae) by Dolichogenidea spp. (Hymenoptera: Braconidae) parasitoids	2006	study	0
https://doi.org/10.1080/09583157.2012.743972	Flowers for better pest control? The effects of apple orchard ground cover management on green apple aphids (Aphis spp.) (Hemiptera: Aphididae), their predators and the canopy insect community	2013	study	0
https://doi.org/10.1080/01448765.1997.9755198	Floral and Faunal Species Diversity and Abundance of Aphid Predators in Ecological Apple Orchards	1997	study	0
https://doi.org/10.1007/BF02979824	Natural Enemies of the Pear Psylla Cacopsylla pyri in Treated vs Untreated Pear Orchards in Antalya, Turkey	2004	study	0
https://doi.org/10.1007/s00244-003-3219-y	Occurrence and Distribution of Pesticides in the Province of Bologna, Italy, Using Honeybees as Bioindicators	2004	study	0
https://doi.org/10.1007/s00244-004-0229-8	Effects of Azinphos-Methyl on Cholinergic Responses and General Health in Zebra Finches (Taeniopygia guttata) After Previous Treatment with p,p'-DDE	2004	study	0
https://doi.org/10.1007/s002440010151	Organochlorine Contaminants and Biomarker Response in Double-Crested Cormorants Nesting in Green Bay and Lake Michigan, Wisconsin, USA	2001	study	0
https://doi.org/10.1007/s00267-013-0194-6	The Influence of Study Species Selection on Estimates of Pesticide Exposure in Free-Ranging Birds	2014	study	0
https://doi.org/10.1007/s00271-005-0019-3	Irrigation of fruit trees and vines: an introduction	2005	introduction	0
https://doi.org/10.1007/s10340-015-0696-5	Temperature-dependent effect of two neurotoxic insecticides on predatory potential of Philodromus spiders	2016	study	0
https://doi.org/10.1007/s10460-009-9240-7	Interpreting orchardists' talk about their orchards: the good orchardists	2010	social_science	0
https://doi.org/10.1007/s10493-008-9193-3	Survey of natural enemies of spider mites (Acari: Tetranychidae) in citrus orchards in eastern Spain	2009	study	0
https://doi.org/10.1007/s10531-013-0551-z	Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation	2013	study	0
https://doi.org/10.1007/s10722-013-0013-1	Flora and plant genetic resources of ancient olive groves of Apulia (Southern Italy)	2014	study	0
https://doi.org/10.1007/s10806-006-9010-0	Farming and Landscape Management: How French Farmers are Coping with the Ecologization of Their Activities	2006	social_science	0
https://doi.org/10.1007/s10841-014-9667-z	Insect taxa with similar habitat requirements may differ in response to the environment in heterogeneous patches of traditional fruit orchards	2014	study	0
https://doi.org/10.1007/s11356-014-3637-6	An ecosystem services approach to pesticide risk assessment and risk management of non-target terrestrial plants: recommendations from a SETAC Europe workshop	2015	report	0
https://doi.org/10.1007/s13355-013-0222-2	Unmown groundcover conserves adult populations of the predatory ground beetle Chlaenius micans (Coleoptera: Carabidae) in commercial apple orchards	2014	study	0
https://doi.org/10.1007/s13592-016-0440-z	Risk indicators affecting honeybee colony survival in Europe: one year of surveillance	2016	study	0
https://doi.org/10.1007/s13593-011-0022-4	Plant species diversity for sustainable management of crop pests and diseases in agroecosystems: a review	2012	review	0
https://doi.org/10.1023/A:1010785604339	The use of benzyladenine in orchard fruit growing: a mini review.	2000	review	0
https://doi.org/10.1023/A:1018300321411	Thicket formation in abandoned fruit orchards: processes and implications for the conservation of semi-dry grasslands in Central Germany	1997	study	0
https://doi.org/10.1023/A:1022553315896	An Assessment of DDT and Other Chlorinated Compounds and the Reproductive Success of American Robins (Turdus migratorius) Breeding in Fruit Orchards	2003	study	0
https://doi.org/10.1023/A:1026444029579	Extrapolating from Honeybees to Bumblebees in Pesticide Risk Assessment	1999	review	0
https://doi.org/10.1051/apido/2009015	Conservation ecology of bees: populations, species and communities*	2009	review	0
https://doi.org/10.1051/apido/2010024	Landscape enhancement of floral resources for honey bees in agro-ecosystems*	2010	review	0
https://doi.org/10.1134/S0013873814080041	Species Diversity and Abundance of Zoophages as a Basic Resource of the Ecological Pest Management Program for Suppression of the Codling Moth Cydia pomonella (L.) (Lepidoptera, Tortricidae) and Secondary Arthropod Pests in the Apple Orchard Agroecosystems of Southern Russia	2014	study	0
https://doi.org/10.1186/s40657-016-0039-0	Effects of location, orchard type, laying period and nest position on the reproductive performance of Turtle Doves (Streptopelia turtur) on intensively cultivated farmland	2016	study	0
https://doi.org/10.1002/etc.377	Apple orchard pest control strategies affect bird communities in southeastern France	2011	study	0
https://doi.org/10.1002/etc.5620180417	CHOLINESTERASE INHIBITION IN TREE SWALLOWS (TACHYCINETA BICOLOR) AND EASTERN BLUEBIRDS (SIALIA SIALIS) EXPOSED TO ORGANOPHOSPHORUS INSECTICIDES IN APPLE ORCHARDS IN ONTARIO, CANADA	1999	study	0
https://doi.org/10.1007/978-3-319-03865-0_7	Risk to Pollinators from the Use of Chlorpyrifos in the United States	2014	review	0
https://doi.org/10.1111/epp.12013	Richesse spécifique des ennemis naturels associés aux vergers d'agrumes au Maroc: Intérêt et implication pour la lutte biologique	2013	french	0
https://doi.org/10.1002/etc.5620170719	THE FUNCTIONAL INTEGRITY OF NORTHERN LEOPARD FROG (RANA PIPIENS) AND GREEN FROG (RANA CLAMITANS) POPULATIONS IN ORCHARD WETLANDS. I. GENETICS, PHYSIOLOGY, AND BIOCHEMISTRY OF BREEDING ADULTS AND YOUNG-OF-THE-YEAR	1998	study	0
https://doi.org/10.3896/IBRA.1.49.1.03	A survey of honey bee colony losses in the United States, fall 2008 to spring 2009	2010	study	0
https://doi.org/10.1002/oa.2363	A New Survey of the Birds of Moldova Region (Romania)	2014	study	0
https://doi.org/10.1111/j.1570-7458.1978.tb02757.x	THE USE OF INSECT GROWTH REGULATORS, ANALOGUES OF THE JUVENILE HORMONE, AGAINST SUMMER FRUIT TORTRIX MOTH, ADOXOPHYES ORANA AND OTHER PESTS	1978	study	0
https://doi.org/10.1111/1365-2664.12778	The use of extrafloral nectar in pest management: overcoming context dependence	2016	review	0
https://doi.org/10.1111/icad.12096	Effects of plant diversity, habitat and agricultural landscape structure on the functional diversity of carabid assemblages in the North China Plain	2015	study	0
https://doi.org/10.1111/j.1439-0418.2007.01233.x	Kaolin particle films suppress many apple pests, disrupt natural enemies and promote woolly apple aphid	2007	study	0
https://doi.org/10.1111/icad.12162	Flowering ground vegetation benefits wild pollinators and fruit set of almond within arid smallholder orchards	2016	study	0
https://doi.org/10.1111/j.1461-9563.2007.00358.x	Stable isotopes analysis to assess the trophic role of ants in a Mediterranean agroecosystem	2008	study	0
https://doi.org/10.1002/ece3.703	Supporting crop pollinators with floral resources: network-based phenological matching	2013	study	0
https://doi.org/10.1002/etc.1834	BATS AT RISK? BAT ACTIVITY AND INSECTICIDE RESIDUE ANALYSIS OF FOOD ITEMS IN AN APPLE ORCHARD	2012	study	0
https://doi.org/10.1890/06-1323.1	DO RESOURCES OR NATURAL ENEMIES DRIVE BEE POPULATION DYNAMICS IN FRAGMENTED HABITATS?	2008	study	0
https://doi.org/10.1046/j.1365-2664.2001.00657.x	Pollen removal and deposition by honeybee and bumblebee visitors to apple and almond flowers	2001	study	0
https://doi.org/10.1002/jssc.201301069	Determination of spinosad at trace levels in bee pollen and beeswax with solid-liquid extraction and LC-ESI-MS	2014	study	0